x,y,z
-0.578135,-89.1766,-16.0227
55.1265,-67.2148,-21.7032
36.6479,-77.7984,14.7415
-1.95256,-85.4008,22.1045
63.4706,-50.9934,10.6723
27.7606,-62.4006,54.1667
-40.5402,-75.5977,11.2552
-25.4563,-62.857,55.1658
-56.7213,-64.2745,-16.5855
76.5265,-19.6851,16.1897
76.8163,-17.1297,-15.134
61.769,-26.3297,50.86
32.6593,-31.8629,75.9279
-2.58233,-34.6337,83.3894
-66.6585,-45.7348,9.87116
83.471,15.0855,24.7694
-33.411,-32.6454,75.7074
39.9157,5.46878,87.8449
-63.1909,-24.5586,53.1107
-77.37,-16.3927,23.4267
83.1803,45.6539,-12.9428
83.3022,46.8992,26.9858
-80.3968,-7.09913,-10.2056
-33.0415,4.45644,91.7165
69.1218,48.7064,64.6512
41.7812,45.4239,90.8482
-83.7912,14.7227,32.9196
0.386102,46.8016,101.5
70.9986,78.8335,24.6656
-35.6026,45.1578,93.6047
33.7169,79.9177,78.8568
-67.229,47.7744,66.3602
-81.9776,49.5168,28.2297
55.9056,99.2591,-1.9501
-82.3848,49.547,-6.04752
36.9155,105.866,36.1048
-32.4522,81.4342,76.379
-67.639,81.0851,26.4077
4.23607,107.292,47.3018
-31.4697,107.578,35.2319
-52.9419,101.243,1.90918
3.53648,119.243,4.33781
27.4822,-85.0429,-17.7561
-31.7453,-82.8605,-18.1548
67.6187,-44.0278,-15.079
48.5287,-56.3312,38.2954
-0.621914,-64.3877,60.9788
-53.2807,-54.1395,35.9427
-72.4179,-35.209,-16.7128
83.3868,18.3071,-14.1625
71.4505,11.5827,59.9863
-68.0269,12.5016,65.6488
73.8718,76.0058,-5.83998
-85.5973,19.2566,-7.58615
59.5109,80.6883,54.1674
1.99268,83.8993,82.4746
-54.7119,82.2474,56.1393
-72.8713,76.1785,-2.84562
31.2641,115.126,5.21908
-24.6454,116.726,4.86108
-0.586093,4.79901,99.532
