x,y,z
-81.1705,51.3006,-10.1354
-79.9044,-12.763,-15.9774
-53.6824,100.398,2.85945
-52.7686,-64.0446,-19.6351
83.1603,44.9795,-4.73947
58.0441,97.9982,5.46497
7.79499,119.4,10.3953
77.4752,-14.2753,-13.9189
51.3297,-66.6646,-17.8673
-3.16509,-88.609,-18.6252
-62.314,-49.2195,7.30072
-67.4452,83.2677,29.4843
-77.6316,-16.2881,18.205
-86.6032,12.6092,22.4839
-83.0549,49.8698,33.5129
71.5252,76.9824,30.8216
57.9318,-52.3877,11.1257
-38.4608,-77.4012,13.9427
72.4528,-24.0941,19.9608
-32.8665,102.832,47.0834
83.0749,44.274,34.2161
83.1801,10.284,28.2228
33.5201,-78.2953,15.4816
40.0072,100.961,44.8995
-3.80991,-85.8617,21.1494
1.83238,104.102,55.0681
-63.7907,-26.52,49.2693
-67.5209,44.9389,68.3186
58.7996,-27.8148,52.9241
-32.742,-60.0539,56.6992
67.1415,41.0159,70.1435
-30.4364,74.5705,81.9055
27.0057,-62.4087,59.1446
33.6311,74.6471,83.348
-36.727,-30.428,78.3453
29.3163,-32.7563,79.2776
-37.1786,43.2416,95.0246
-37.0384,4.39665,88.5783
34.8154,39.9718,94.8232
-1.88554,-34.7813,85.228
35.3035,3.07062,90.8992
0.870733,41.6793,101.2
-86.4065,18.3047,-12.6604
-71.7118,78.0491,-0.0303555
-68.138,-39.4478,-16.0028
-32.3936,-82.192,-22.5314
85.2355,15.5394,-9.2698
-24.506,115.836,7.99386
74.2185,72.9609,-1.58139
35.0299,113.184,10.8552
26.3262,-85.1873,-20.1995
66.4606,-41.8233,-13.7682
46.9591,-58.5136,34.6629
-55.4398,78.2524,60.2645
-54.0022,-53.0357,39.2685
56.081,76.6525,63.0263
-70.484,5.59209,62.1406
65.3499,6.29871,66.1629
-3.63066,-69.2923,61.1495
-0.0332142,77.9334,85.8357
-2.07164,2.74225,97.6829
